System,Reef,Location,Year (decimal),Soft Coral,Millepora,Echinopora and other foliose corals,Merulinidae and other massives,Fungiidae,Isopora,Montipora and other encrusting coral,Pocilloporidae,Porites Branching,Porites Massive,Acropora,Diploastrea,Pavona,Other Hard Coral
Rowley Shoals,Clerke,Outer Clerke,1995.83,0.95,1.58,0.50,4.60,0.03,0.46,9.78,1.48,0.00,4.20,11.70,0.57,0.63,0.85
Rowley Shoals,Clerke,Outer Clerke,1996.83,0.84,3.31,0.37,5.65,0.00,0.94,5.85,0.54,0.00,4.64,1.64,0.37,0.60,0.90
Rowley Shoals,Clerke,Outer Clerke,1997.92,0.77,4.67,0.17,7.20,0.00,0.50,7.60,0.73,0.03,2.33,1.27,0.17,0.00,1.30
Rowley Shoals,Clerke,Outer Clerke,1998.92,0.50,4.98,0.10,5.24,0.00,0.74,6.71,0.63,0.00,4.04,1.80,0.20,1.40,2.14
Rowley Shoals,Clerke,Outer Clerke,2001.83,0.81,4.70,0.16,4.97,0.00,1.01,5.32,2.53,0.00,4.87,11.04,0.23,3.54,1.01
Rowley Shoals,Clerke,Outer Clerke,2005.33,0.81,6.26,0.10,1.50,0.00,3.99,6.46,5.22,0.00,7.60,23.98,0.17,0.41,1.14
Rowley Shoals,Clerke,Outer Clerke,2008.83,0.05,4.72,1.20,10.29,0.00,1.93,7.02,4.64,0.00,2.44,7.81,0.79,7.46,2.24
Rowley Shoals,Clerke,Outer Clerke,2010.83,0.50,4.07,0.78,10.89,0.05,2.17,8.78,4.83,0.00,4.08,8.61,0.60,11.39,3.36
Rowley Shoals,Clerke,Outer Clerke,2013.83,0.27,4.98,1.07,10.19,0.13,4.84,7.61,6.35,0.00,3.83,15.00,0.43,7.93,3.54
Rowley Shoals,Clerke,Outer Clerke,2016.08,0.40,5.84,0.56,10.48,0.00,4.32,5.20,6.16,0.00,2.24,12.80,0.32,7.20,1.04
Rowley Shoals,Clerke,Outer Clerke,2017.92,0.37,4.64,1.18,9.43,0.11,6.08,5.49,5.36,0.03,3.04,13.59,0.37,7.45,3.62
Rowley Shoals,Clerke,Outer Clerke,2018.17,1.57,3.69,0.16,9.53,0.00,6.16,6.48,6.20,0.00,1.48,18.37,0.08,7.10,1.57
